_lab_Type,Isobutane,Butane,c-2-Butene,2-Methyl-1-butene,t-2-Pentene,2-Methyl-2-butene,2<comma>2-Dimethylbutane,2-Methylpentane,Hexane,2<comma>4-Dimethylpentane,Cyclohexane,3-Methylhexane,Heptane,2<comma>4-Dimethylhexane,Toluene,2<comma>3-Dimethylhexane,Ethylbenzene,p-Xylene,1-Methyl-3-ethylbenzene,1<comma>3<comma>5-Trimethylbenzene,1<comma>2<comma>4-Trimethylbenzene,2-Methylnaphthalene,1<comma>3-Butadiene,t-2-Butene,Isopentane,Pentane,c-2-Pentene,Cyclopentane,2<comma>3-Dimethylbutane,3-Methylpentane,Methylcyclopentane,Benzene,2-Methylhexane,2<comma>2<comma>4-Trimethylpentane,Methylcyclohexane,2<comma>3<comma>4-Trimethylpentane,2<comma>3<comma>3-Trimethylpentane,3-Methylheptane,m-Xylene,o-Xylene,1-Methyl-4-ethylbenzene,1-Methyl-2-ethylbenzene,Naphthalene,1-Methylnaphthalene
PU,2.77,6.91,0.52,0.45,0.55,0.85,0.31,2.21,1.52,0.77,0.07,1.87,1.24,0.59,11.56,0.64,2.07,2.79,1.95,1.16,3.33,0.07,0.03,0.66,4.82,1.76,0.31,0.1,1.05,1.57,0.52,2.1,2.47,3.71,0.26,1.74,1.5,0.65,6.44,3.43,0.86,0.69,0.14,0.02
PU,3.53,4.71,0.28,0.58,0.77,1.19,0.12,4.03,2.2,0.51,0.2,2.02,1.16,0.26,10.68,0.15,1.8,2.53,1.97,1.31,3.34,0.08,0,0.41,10.2,4.21,0.42,0.37,0.79,2.56,2.01,2.33,2.47,0.23,0.62,0.04,0,0.67,5.68,2.82,0.9,0.59,0.17,0.04
PU,4.17,6.19,0.17,0.2,0.27,0.46,0.67,4.18,3.65,0.32,0.17,1.5,0.99,0.1,17.94,0.07,1.91,2.5,1.66,1.03,2.82,0.13,0,0.25,6.77,5.31,0.15,0.32,0.84,3,0.99,5.62,1.76,0,0.21,0.02,0,0.29,5.79,3.2,0.71,0.61,0.2,0.05
PU,1.92,6.51,0.51,0.62,0.78,1.15,0.2,2.16,1.5,1.14,0.11,1.77,1.2,0.6,11.58,0.65,2.01,2.36,1.16,0.67,2.15,0.02,0.01,0.55,5.02,2.27,0.44,0.15,1.14,1.5,0.99,2.66,3.49,3.93,0.38,2.21,1.57,0.69,5.84,3.07,0.51,0.39,0.04,0.01
PU,2.31,3.59,0.71,0.57,0.8,1.03,0.28,2.66,2.01,0.38,0.11,1.97,1.28,0.22,14.81,0.14,2.49,3.29,1.52,0.99,2.67,0.24,0,0.87,5.12,2.84,0.45,0.16,0.54,1.92,0.96,3.31,2.31,0,0.41,0.03,0,0.71,8.23,3.95,0.64,0.57,0.2,0.08
PU,3.37,5.47,0,0.01,0,0.01,0.74,5.26,2.05,0.4,0.61,2.35,1.72,0.23,9.01,0.19,1.09,2.2,3.75,2.21,7.42,0.16,0,0,10.79,2.27,0,0.61,0.93,3.35,1.66,2.68,2.71,0,0.14,0,0,0.67,5.39,4.8,1.72,1.4,0.2,0.08
PU,2,11.34,0.04,0.18,0.22,0.34,0.2,1.49,0.62,5.91,0.18,0.76,0.53,1.73,1.32,1.4,0.36,0.39,0.43,0.27,0.8,0.13,0,0.05,5.1,0.97,0.12,0.14,2,0.92,0.63,0.34,11.12,17.09,0.46,5.12,3.8,0.44,1.04,0.64,0.18,0.17,0.08,0.04
PU,0.28,12.79,0.04,0.67,0.86,1.35,0.05,2.15,1.08,2.77,0.15,0.85,0.35,1.08,2.68,1.11,0.64,0.72,0.81,0.47,1.31,0.03,0,0.03,5.64,1.86,0.48,0.23,1.04,1.33,1.15,0.56,8.04,13.74,0.46,4.29,2.29,0.55,1.99,1.12,0.32,0.32,0.16,0.01
PU,2.65,6.19,0.02,0.02,0.02,0.04,0.31,6.49,2.11,0.49,0.64,1.43,0.64,0.07,7.99,0.05,1.65,2.37,3.12,1.67,6.13,0.04,0,0.03,14.81,3.55,0.01,0.77,1.27,3.8,5.68,2.82,2.04,0,0.29,0,0,0.17,5.26,4.55,1.43,1.19,0.1,0.02
PU,2.67,5.48,0.35,0.62,0.72,1.14,1.15,3.86,2.46,0.36,0.4,1.59,1.01,0.17,11.18,0.11,2.07,2.62,2.23,1.27,3.33,0.08,0,0.37,8.22,3.31,0.4,0.36,0.98,2.61,1.3,3.1,1.9,0,0.5,0.03,0,0.69,6.07,3.01,0.99,0.76,0.19,0.04
PU,2.85,5.39,0.22,0.63,0.73,1.18,0.19,3.18,2.07,0.33,0.27,1.2,0.54,0.16,10.46,0.12,1.66,1.66,2.97,1.49,5.24,0.18,0,0.23,7.25,4.26,0.41,0.37,0.58,2,1.54,0.62,1.59,0,0.55,0,0,0.52,4.26,2.44,1.35,1.14,0.27,0.08
PU,0.57,11.01,0.09,0.42,0.52,0.82,0.27,2.66,1.16,0.73,0.05,0.9,0.62,1.08,11.08,0.99,2.14,2.63,1.6,0.94,2.73,0.08,0,0.09,7.2,3.87,0.29,0.46,1.01,1.55,0.55,0.35,1.36,8.41,0.21,3.25,1.43,0.6,6.08,3.27,0.69,0.59,0.17,0.03
PU,1.84,8.85,0.14,0.46,0.7,1.07,0.59,3.12,1.37,1.05,0.16,0.8,0.52,0.64,7.57,0.61,2.5,1.1,2.6,1.33,4.05,0.36,0,0.16,7.02,3.97,0.28,0.76,1.1,1.75,0.87,0.44,2.8,4.8,0.3,1.76,0.66,0.38,2.83,1.46,1.18,0.95,0.51,0.16
PU,1.78,8.63,0.39,0.46,0.59,0.93,0.1,2.06,0.74,1.21,0.08,1.28,0.75,1.1,4.28,1.17,0.94,1.09,1.12,0.66,1.98,0.11,0,0.46,7.38,1.11,0.33,0.11,1.54,1.33,0.95,0.78,2.43,9.13,0.49,4.55,4.96,0.78,2.83,1.57,0.47,0.47,0.22,0.04
PU,2.45,4.76,0.68,0.89,1.14,1.66,0.21,3.68,2.58,0.77,0.14,2.3,1.55,0.63,4.57,0.7,2.42,2.19,2.55,1.1,3.27,0.03,0.01,0.79,6.76,2.63,0.63,0.36,1.13,2.41,1.72,1.53,2.9,4.06,0.29,2.21,1.9,0.76,5.39,3.13,1.16,0.87,0.06,0.01
PU,3.07,4.91,0.6,0.62,0.8,1.16,0.45,2.83,1.9,0.53,0.17,2.7,1.92,0.45,14.54,0.36,2.98,2.67,1.81,0.79,2.69,0.03,0.02,0.76,4.67,1.92,0.45,0.24,0.66,1.98,1.42,3.67,3.16,0.58,0.39,0.16,0,1.08,6.34,3.52,0.81,0.71,0.07,0.01
PU,4.12,4.55,0.34,0.38,0.54,0.74,0.79,3.06,1.6,0.44,0.48,2.19,1.31,0.25,14.29,0.16,2.8,2.96,1.77,1,2.58,0.02,0,0.43,6.46,2.44,0.3,0.24,0.75,2.07,1.4,3.05,2.64,0.19,0.6,0.04,0,0.81,7.05,3.71,0.76,0.65,0.05,0.01
PU,3.43,4.33,0.38,0.34,0.43,0.68,0.88,3.98,3.06,0.37,0.47,1.88,1.27,0.2,14.92,0.17,3.2,3.14,1.99,0.89,2.78,0.08,0,0.5,6.88,3.96,0.24,0.43,0.93,2.74,1.35,3.98,2.26,0,0.44,0.03,0,0.6,7.46,4,0.89,0.69,0.12,0.04
PU,2.75,3.55,0.99,0.97,1.24,1.85,0.46,3.79,2.47,0.41,0.2,1.61,0.96,0.13,14.8,0.09,2.63,3.04,1.82,0.9,2.37,0.04,0.01,1.21,6.78,3.06,0.69,0.33,0.83,2.6,1.52,4.75,1.98,0,0.41,0.01,0,0.39,6.94,3.51,0.81,0.58,0.05,0.02
PU,3.59,5.35,0.62,0.85,1.05,1.75,0.37,3.09,2.23,0.4,0.33,1.68,1.13,0.18,13.08,0.12,2.42,2.81,1.67,0.9,2.45,0.05,0.01,0.76,6.77,3.91,0.59,0.28,0.67,2.13,1.24,3.01,2.04,0,0.52,0,0,0.58,6.76,3.47,0.71,0.62,0.07,0.02
PU,2.43,6.54,0.89,0.71,0.91,1.28,0.14,2.87,2.15,0.35,0.28,1.7,1.28,0.27,10.93,0.26,2.39,2.55,2.41,1.13,4.22,0.06,0.02,1.15,5.78,3.2,0.5,0.35,0.56,1.81,1.72,1.7,2.02,0,0.36,0.05,0,0.94,6.37,3.69,1.1,1.01,0.15,0.02
PU,0.29,13.47,0.04,0.68,0.87,1.35,0.05,2.08,1.08,2.61,0.16,0.77,0.32,0.97,2.36,0.99,0.55,0.61,0.66,0.37,1.08,0.02,0,0.02,5.68,1.88,0.48,0.22,0.99,1.27,1.12,0.52,7.37,12.74,0.42,3.85,2.08,0.47,1.7,0.95,0.26,0.26,0.1,0.01
RU,2.12,5.43,0.66,0.7,0.87,1.32,0.25,3.99,4.42,0.43,1.11,1.74,1.51,0.2,7.42,0.15,1.39,1.76,1.5,0.88,2.51,0.09,0.02,0.75,6.7,5.47,0.49,0.58,0.71,2.52,2.29,1.96,2.32,0.37,0.86,0.2,0,0.52,4.38,2.27,0.65,0.61,0.17,0.03
RU,2.58,3.7,0.21,0.39,0.52,0.8,0.15,7,3.9,0.45,0.67,1.19,0.58,0.15,4.73,0.1,1.07,1.41,1.45,0.94,2.39,0.13,0,0.31,14.14,5.59,0.28,0.83,1.26,4.05,4.92,1.88,1.64,0.13,0.58,0,0,0.7,3.44,1.74,0.61,0.56,0.2,0.05
RU,3.42,5.11,0.41,0.59,0.84,1.34,0.23,3.39,2.7,0.37,0.35,0.93,0.44,0.14,5.32,0.1,0.7,0.74,1.05,0.64,1.62,0.33,0,0.53,7.8,5.97,0.47,0.53,0.64,2.1,1.63,1.68,1.29,0.29,0.62,0,0,0.62,1.96,1.02,0.42,0.51,0.35,0.1
RU,1.83,7.59,0.49,0.75,0.98,1.39,0.19,3.67,3.29,0.81,0.67,1.71,1.25,0.49,6.84,0.5,1.33,1.52,1.26,0.72,2.16,0.02,0,0.51,6.05,4.11,0.55,0.42,1.03,2.36,2,1.97,2.73,2.58,0.79,1.48,1.16,0.69,3.88,2.06,0.51,0.52,0.05,0.01
RU,2.77,5.12,0.88,0.67,0.94,1.2,0.83,5.03,5.19,0.38,1.12,1.61,1.24,0.16,7.2,0.1,1.3,1.65,1.02,0.62,1.64,0.21,0.03,1.08,7.88,6.26,0.52,0.66,1.04,3.29,2.76,2.19,2.14,0,0.91,0.03,0,0.67,4.14,2.01,0.41,0.41,0.19,0.07
RU,2.67,5.47,0,0,0,0.01,1.09,6.8,4.33,0.43,0.75,2.49,1.83,0.24,9.31,0.19,0.97,1.88,1.7,1.13,3.42,0.14,0,0,14.25,7.69,0,0.74,1.33,4.36,2.11,2.97,2.88,0,0.18,0.01,0,0.7,4.4,2.8,0.78,0.61,0.13,0.07
RU,2.12,9.06,0.12,0.55,0.68,1.02,0.59,3.6,1.63,1.24,0.55,1.73,1.52,0.51,4.82,0.44,1.11,1.19,1.3,0.75,2.22,0.36,0,0.11,8.13,2.33,0.38,0.43,1.14,2.38,1.93,1.08,3.75,2.69,1.37,0.84,0.4,1.21,3.12,1.71,0.56,0.56,0.25,0.13
RU,0.36,12.99,0.03,0.55,0.71,1.17,0.14,3.03,3.15,1.32,0.41,1.83,1.69,0.67,6.67,0.64,1.27,1.43,0.98,0.52,1.81,0.09,0,0.02,5.33,3.85,0.39,0.46,0.73,1.92,1.97,1.53,4.71,5.18,0.46,1.67,0.71,0.99,3.7,2.02,0.41,0.42,0.29,0.03
RU,3.33,7.3,0.02,0.02,0.02,0.05,0.69,6.55,3.12,0.57,0.41,2.57,1.58,0.2,6.28,0.17,1.25,1.82,2.52,1.28,4.83,0.03,0,0.03,13.65,7.09,0.01,1.26,1.27,3.99,4.21,1.59,3.17,0,0.19,0,0,0.54,4.04,3.73,1.15,0.96,0.07,0.02
RU,3.48,4.09,0.52,0.76,0.89,1.4,1.49,3.97,2.05,0.45,0.6,1.72,1.09,0.25,6.24,0.17,1.43,1.66,1.67,0.98,2.23,0.02,0,0.59,10.07,3.28,0.49,0.42,1.1,2.51,1.73,1.47,2.16,0.34,0.69,0,0,0.83,3.9,1.92,0.73,0.62,0.05,0.01
RU,2.82,5.79,0.27,0.79,0.89,1.45,0.35,5.35,3.92,0.51,0.47,1.92,1.05,0.19,2.41,0.13,1.1,1.22,2.14,1.09,3.76,0.11,0,0.28,9.97,6.24,0.5,0.59,0.95,3.45,2.49,0.76,2.51,0,0.53,0,0,0.6,3.06,1.76,0.95,0.8,0.18,0.05
RU,1.15,9.64,0.06,0.34,0.47,0.77,0.48,4.56,2.48,0.53,0.09,1.68,1.1,0.49,7.14,0.42,1.75,2.01,1.57,0.93,2.62,0.05,0,0.06,8.59,6.31,0.27,0.77,1.03,2.85,1.11,0.61,2.11,2.68,0.45,1.06,0.5,0.65,4.8,2.52,0.66,0.6,0.31,0.02
RU,2.07,8.04,0.2,0.58,0.79,1.23,0.46,4.26,3.82,0.67,0.38,2.15,1.5,0.4,4.38,0.36,1.55,1.09,2.26,1.06,3.24,0.25,0,0.22,8.77,4.92,0.36,0.79,0.95,3.09,2.16,0.64,3.12,1.44,0.58,0.54,0.36,0.78,2.69,1.44,1.01,0.86,0.44,0.11
RU,2.01,7.33,0.5,0.66,0.84,1.33,0.82,3.56,2.13,0.45,0.38,2.02,1.37,0.36,7,0.31,1.5,1.7,1.71,1.01,2.99,0.14,0,0.58,7.24,2.83,0.47,0.35,0.86,2.28,1.76,1.42,2.59,0,0.78,0.1,0,1.17,4.48,2.33,0.72,0.74,0.27,0.06
RU,2.71,3.41,0.53,0.47,0.61,0.94,1.24,4.81,3.04,0.4,0.86,1.86,1.24,0.26,8.9,0.22,2.03,2.03,1.44,0.69,2.04,0.24,0,0.69,9.5,4.87,0.34,0.6,1.25,3.11,1.91,2.28,2.27,0,0.79,0.03,0,1.04,4.67,2.58,0.63,0.6,0.17,0.09
RU,2.29,4.62,0.98,0.84,1.09,1.62,0.28,4.02,3.04,0.44,0.64,1.55,0.75,0.24,9.04,0.15,1.8,1.96,0.97,0.48,1.11,0.02,0.01,1.23,7.21,5.05,0.6,0.67,0.78,2.57,2.15,3.07,2.06,0,1.02,0,0,1.04,4.67,2.36,0.4,0.32,0.02,0.01
RU,3.84,4.68,0.49,0.63,0.83,1.44,0.29,3.4,2.95,0.43,0.78,1.44,1.11,0.18,8.01,0.12,1.62,1.82,1.53,0.85,2.19,0.04,0.01,0.61,5.99,4.42,0.47,0.46,0.71,2.31,1.82,2.34,1.89,0.15,1.09,0.06,0,0.77,4.51,2.33,0.63,0.67,0.07,0.02
RU,2.83,5.22,0.52,0.61,0.88,1.25,0.17,5.59,4.25,0.35,0.12,1.47,0.83,0.22,3.46,0.16,1.48,1.48,1.9,0.95,2.78,0.33,0.01,0.62,10.02,6.19,0.44,0.83,1.02,3.52,2.21,1.28,1.81,0,0.5,0.05,0,0.74,3.7,2.04,0.8,0.73,0.44,0.12
RU,3.07,5.03,0.42,0.4,0.51,0.74,0.89,4.25,3.03,0.44,0.6,2.09,1.5,0.36,10.72,0.31,2.37,2.14,1.71,0.78,2.47,0.05,0.01,0.53,7.39,4.45,0.29,0.63,0.99,2.82,2.62,2.62,2.56,0.38,0.5,0.13,0,0.97,5.12,2.88,0.74,0.73,0.09,0.02
RU,4.44,4.82,0.39,0.5,0.73,0.96,1.88,4.44,1.81,0.45,1.3,2.07,1.17,0.32,6.54,0.21,1.43,1.42,1.13,0.68,1.74,0.21,0,0.46,9.69,2.9,0.4,0.46,1.24,2.77,2.3,1.41,2.58,0,0.93,0,0,1.1,3.61,1.88,0.46,0.51,0.36,0.06
